"location_num","location_name","location_status","operator_num","operator_name","operator_type","co_owned_flag","projected_open_date","open_date","closed_date","location_category","concept_type","location_type","location_subtype","prototype","location_format","square_footage","prototype_square_footage","has_drive_thru","drive_thru_lanes","drive_thru_pickup_windows","kitchen_layout","parking_spaces","parking_spaces_handicap","has_dining_room","seating_total_original","address_line_1","address_line_2","address_line_3","city","county","state","country_name","country_code","zip_code","gps_latitude","gps_longitude","phone_number","price_group","distribution_center","dc_code","distributor","region","service_team_code","service_team","business_consultant","operations_lead","area_director","operator_team_code","operator_team","market_code","market","last_updated","filepath","insert_timestamp","load_date"
"04405",Addie's Corner FSU,FUTURE,,,,,2021-12-30 00:00:00.000,,,Core,CFA,FSU,FSU,,Stand Alone,0.00,4992.00,N,0,,Centerline,0,0,N,106,"8610 Addison Place Dr",,,Naples,Collier,FL,United States,US,"34119-7832","26.274038",-81.693244,,"21",QCD-Miami FL,MIA,Quality Custom Distribution,Southeast Region,E2,SE Region Team #2,Rosa Rodriguez,Rosa Rodriguez,Brent Townsend,SWFL,Southwest Florida,"571","Ft. Myers-Naples, FL",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"00169",Midland Park Mall,OPEN,"19529",Dianne Jones,OPR,N,1980-08-07 00:00:00.000,1980-08-07 00:00:00.000,,Core,CFA,MALL,MALL,,Food Court,1214.00,0.00,N,0,,L-Traditional,0,0,Y,0,"4511 N Midkiff Rd Ste C19",,,Midland,Midland,TX,United States,US,"79705-3238","32.03085",-102.130734,"432/695-6093","29",MBM-Lewisville TX,LEW,MCLANE COMPANY INC,Southwest Region,S3,SW Region Team #3,Patrick Coussens,Patrick Coussens,Hoovey McGuirt,MIDL,Midland,"633","Odessa-Midland, TX",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"01662",US HWY 29 Charlottesville FSU-Terminated,NEVER OPENED,,,,,,,,Core,CFA,FSU,FSU,,Stand Alone,,,N,,,,,,N,,US Highway 29,,,Charlottesville,Albemarle,VA,United States,US,,,,,,,,,Northeast Region,N1,NE Region Team #1,Omar Dione,Omar Dione,Demetrius Ingram,CNVE,Central VA East,,,2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"03268",Terminated Altamonte Springs FSU ,NEVER OPENED,,,,,,,,Core,CFA,FSU,FSU,,Stand Alone,0.00,3876.00,N,0,,,0,0,N,0,East Altamonte Drive,,,Altamonte Springs,Seminole,FL,United States,US,"32701-4604","28.66379",-81.37408,,,,,,Southeast Region,E2,SE Region Team #2,Kim Gartrell,Kim Gartrell,Brent Townsend,ORLN,Orlando North,"534","Orlando-Daytona Beach-Melbourne, FL",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"03261",Westborough FSU,OPEN,"15325",Mike Lawson,OPR,N,2014-09-25 00:00:00.000,2014-09-25 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,,4791.00,Y,2,1,Centerline,,,N,,"286 Turnpike Rd",,,Westborough,Worcester,MA,United States,US,"01581-2812","42.282474",-71.645571,"508/366-8407","33",FA-Boston MA,BOS,Food Authority of Massachusetts,Northeast Region,N2,NE Region Team #2,Brandon Bray,Brandon Bray,Scott Stover,GBOS,Greater Boston,"506","Boston, MA (Manchester, NH)",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"01539",Grove City FSU,OPEN,"08064",Joe Benson,OPR,N,2006-12-14 00:00:00.000,2006-12-14 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4227.00,0.00,Y,1,1,L-Traditional,52,0,N,0,"1696 Stringtown Rd",,,Grove City,Franklin,OH,United States,US,"43123-8995","39.879028",-83.039513,"614/539-9500","19",MBM-Lockbourne OH,LOC,MCLANE COMPANY INC,Midwest Region,M2,MW Region Team #2,Travis Williamson,Travis Williamson,Dericus Harvey,COLM,Columbus Ohio,"535","Columbus, OH",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"03316",Chantilly FSU,OPEN,"04343",Peter Kim,OPR,N,2017-11-30 00:00:00.000,2017-11-30 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4906.00,4906.00,Y,2,1,Centerline,163,5,N,128,"4201 Chantilly Shopping Center",,,Chantilly,Fairfax,VA,United States,US,"20151","38.8862",-77.4418,"703/631-2253","27",MB-Manassas VA,MAN,MARTIN BROWER,Northeast Region,N1,NE Region Team #1,Carla Armstrong,Carla Armstrong,Demetrius Ingram,FRFX,Fairfax,"511","Washington, DC (Hagerstown, MD)",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"01071",Lake Woodlands Drive FSU,OPEN,"00703",Ed Murray,OPR,N,1999-06-10 00:00:00.000,1999-06-10 00:00:00.000,,Core,CFA,FSU,FSU,,Stand Alone,4173.00,0.00,Y,2,1,Midline,37,2,N,108,"1660 Lake Woodlands Dr",,,The Woodlands,Montgomery,TX,United States,US,"77380-3261","30.16719",-95.46005,"281/364-0475","23",McLane-Houston TX,HOU,MCLANE COMPANY INC,Southwest Region,S2,SW Region Team #2,Mark Rockett,Mark Rockett,Joanna Symonds,HOUN,Houston North,"618","Houston, TX",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"00436",Ashland Town Center,CLOSED,"00803",,OPR,N,1990-12-12 00:00:00.000,1990-12-12 00:00:00.000,2008-01-31 00:00:00.000,Core,CFA,MALL,MALL,,Food Court,,,N,0,,,,,N,,"500 Winchester Avenue",Space 118,,Ashland,Boyd,KY,United States,US,"41101","38.4837",-82.6534,"606/325-2371","7",,,,Atlantic Region,A1,AT Region Team #1,Blake Roberts,Blake Roberts,Amy Millard,WVIR,West Virginia,"564","Charleston-Huntington, WV",2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
"01547",Evansville FSU-Terminated,NEVER OPENED,,,,,,,,Core,CFA,FSU,FSU,,Stand Alone,,,N,,,,,,N,,,,,Evansville,Vanderburgh,IN,United States,US,,,,,,,,,,,,,,,,,,,2021-11-16 00:51:22.000,s3://cfadatalakeprod-useast1-dl-common-0042-in/1676/_0010/trigger/location_attributes.csv,2021-11-16 05:52:32.483,2021-11-16
